id;address;region;latitude;longitude
1;via David Chiossone 20 r;Liguria;44.4088152;8.9332403
2;via Angelo Lista 24;Campania;40.3054;15.2924
3;Piazza Risorgimento 3;Piedmont;44.700544;8.0362174
4;via Generale Magliocco 19;Sicily;38.121447;13.3563232
5;largo Parsano vecchio 16;Campania;40.6241264;14.3698012
6;Via Bruno Buozzi 20;Basilicata;40.662295;16.611347
7;Via Mulino, località San Gaudenzio;Lombardy;44.9618;9.0986
8;via Garibaldi 2;Abruzzo;42.4230126;14.1867176
9;piazza De Ferrari 4;Liguria;44.4082293;8.934143
10;Via Cristoforo Colombo 45;Abruzzo;42.4238815;14.2864815
11;via Rosa Scoti 12;Tuscany;43.6948814;11.8176063
12;corso Garibaldi 45;Emilia-Romagna;44.2003883;12.3968844
13;Località Badiola;Tuscany;42.845;10.8943
14;via Bruse 2;Lombardy;45.6939763;9.8330047
15;Via Euplio Reina 13;Sicily;37.5038229;15.0874943
16;Via Roma 45/47;Campania;40.6915224;14.5157984
17;via Antonio Gramsci 6;Emilia-Romagna;44.8086583;10.1787782
18;Via Giulio Cesare Procaccini 33;Lombardy;45.4833647;9.1704417
19;via Sassari 51;Sardinia;39.2939822;8.9965157
20;via Marina Grande;Campania;40.6273483;14.3652044
21;piazza Gran Madre di Dio 2/l;Piedmont;45.0622062;7.69855
22;via Monti 46;Emilia-Romagna;44.6679379;10.651382
23;via Furlo 60;Marche;43.6383957;12.7132968
24;viale della Rimembranza 24;Tuscany;43.423336;11.1161047
25;via Roccolo Pizzati 1;Veneto;45.5892;11.3655
26;via Maria Vittoria 34/a;Piedmont;45.0654927;7.6909929
27;via privata Gemelli;Lombardy;46.1522;10.1488
28;via San Pietro 8;Trentino – Alto Adige/Südtirol;46.0632636;11.2452126
29;vico Sospiri 10/C;Campania;40.8344292;14.2404324
30;via Val Mora 57;Veneto;45.585803;10.7172822
31;Località Lupaia 74;Tuscany;43.1265;11.7445
32;via Vittorio Emanuele 9;Lombardy;45.3627516;9.5556203
33;Via San Nicolao 3/a;Lombardy;45.4666989;9.1769693
34;Riviera di Chiaia 216;Campania;40.8331874;14.2383268
35;via Maffei 2;Emilia-Romagna;43.8640454;12.2087234
36;Via Roma 16;Emilia-Romagna;43.8591845;12.6887992
37;Calle Larga 22 Marzo 2032;Veneto;45.4328571;12.3343596
38;Riviera di Chiaia 271;Campania;40.8333534;14.2390042
39;Via Fra' Giovanni da Fiesole detto l'Angelico 35;Tuscany;43.8181;11.2959
40;via Fratelli Cervi 18;Lazio;41.7253124;13.0033714
41;via Varesina 177;Lombardy;45.4943924;9.1485079
42;Piazza Salvo d'Acquisto 16;Calabria;38.9667;16.2833
43;Vicoletto Due Mori 5;Veneto;45.4447116;10.9983535
44;viale Trento 31;Emilia-Romagna;44.195651;12.4042001
45;via Partenope 45;Campania;40.8303573;14.2447533
46;passeggiata Archeologica 8;Sicily;37.2932342;13.5898271
47;via Giovanni XXIII 1;Apulia;40.6342426;17.9434759
48;via Circondariale San Francesco 2;Emilia-Romagna;44.5370717;10.8245971
49;via Santi Pietro e Paolo 1;Trentino – Alto Adige/Südtirol;46.3020522;11.4564618
50;via Barbarotta 15/17;Abruzzo;42.1123941;14.710521
51;via Quattro Strade 12;Veneto;45.645;12.509
52;via G. Valentini 110;Emilia-Romagna;44.2725009;12.2123754
53;via Guido Rossa 13;Emilia-Romagna;44.760218;10.9291051
54;località Montebello 1;Piedmont;44.8761;7.9942
55;via per Cernobbio 41/a;Lombardy;45.822828;9.0677548
56;viale Premuda 34;Lombardy;45.4658331;9.2074624
57;via Benedetto Musolino 22;Calabria;38.7359843;16.1607052
58;via Gramsci 23;Liguria;44.535221;8.6990153
59;via di Ripetta 232;Lazio;41.9067288;12.4757499
60;via del Bosco 2, ang. via Facchini;Emilia-Romagna;44.8036;11.41
61;via Maggiore 12;Lombardy;45.4962366;9.3760371
62;rue Grand Paradis 20;Aosta Valley;45.603413;7.3542892
63;via Guglielmo Calderini 64;Lazio;41.9315776;12.4674157
64;vicolo Corticella San Marco 3;Veneto;45.4426684;10.9960386
65;corso Romita 83;Piedmont;44.9005057;8.8663391
66;via Crescenzio 13;Lazio;41.9055439;12.4663511
67;via Lambertesca 7r;Tuscany;43.7686991;11.2547113
68;corso Tintori 47 r;Tuscany;43.7674124;11.260216
69;viale Cesare Battisti 1;Lombardy;45.5927463;9.271141
70;via Cap. Bocchieri 31;Sicily;36.8964;14.7069
71;via Litoranea 2;Tuscany;43.7085;10.4036
72;via Vizzotto 1;Veneto;45.6309673;12.576046
73;località Fracia;Lombardy;46.1602;10.0253
74;piazza XX Settembre 6/c;Liguria;43.7924728;7.6081232
75;via Bartolo 30;Umbria;43.11357071;12.38959623
76;Contrada Cavallerizza, SS 303 verso Rocchetta Sant'Antonio;Basilicata;40.9959;15.6466
77;via Del Platano 21;Emilia-Romagna;44.0549;12.3758
78;Raindl 49;Trentino – Alto Adige/Südtirol;46.7242992;11.2078093
79;via Rovita 13;Basilicata;39.9920882;15.721866
80;via Erasmo Valvason 4;Friuli – Venezia Giulia;46.0638121;13.232749
81;via Fiume Savuto, località Santo Janni;Calabria;38.902;16.5976
82;Via Marina 24;Calabria;38.690691;16.546882
83;piazza Maggiore 6;Piedmont;44.3884985;7.8301567
84;frazione Valleandona 1/b;Piedmont;44.9087665;8.1201283
85;viale dei Caduti del Lavoro 5;Lombardy;45.5028;10.0344
86;piazza Santa Monica;Abruzzo;42.0506125;13.9235521
